Unnamed: 0,MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE,label
0,40,CYP,CYP,OCCURRENCE,Not worked,Low Significance,LATR,132.6082534,-26.98062920000001,57
1,3490,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,133.3144083,-26.980648300000002,68
2,9170,Cr,Cr,OCCURRENCE,Not worked,Low Significance,IMAF,132.5374584,-26.9847332,11
3,41,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.5672964,-26.9883202,68
4,181,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.3743953,-26.9918243,71
5,183,OPAL,OPAL,OCCURRENCE,Seasonal,Locally Significant,OPAL,134.0976052,-26.9927153,71
6,201,"QTZE, SDST",QTZE,PROSPECT,Abandoned,Locally Significant,QTZT,133.4023473,-26.996025300000003,66
7,11123,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.85460769999997,-27.0907564,56
8,184,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.8654962,-27.1054163,71
9,11648,Pb,Pb,OCCURRENCE,Not worked,Low Significance,REGO,133.6794793,-27.1137923,43
10,39,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.4782423,-27.1141223,68
11,11124,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.8210517,-27.1147234,56
12,47,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.7120664,-26.464881199999997,82
13,8829,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,134.0720082,-26.562986300000002,31
14,3488,Cu,Cu,OCCURRENCE,Not worked,Low Significance,IRSU,133.2525933,-26.5640503,68
15,37,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,133.09031729999998,-26.767218300000003,68
16,38,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,133.4991603,-26.9292993,17
17,3487,MIC,MIC,OCCURRENCE,Not worked,Low Significance,VEIN,133.4971023,-26.9326173,13
18,3489,BRL,BRL,OCCURRENCE,Not worked,Low Significance,PEGM,133.3938253,-26.9361723,61
19,35,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.2297223,-26.9393543,68
20,180,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.53458030000002,-26.9462623,71
21,177,MHEM,MHEM,OCCURRENCE,Not worked,Low Significance,TCTO,133.6549053,-26.9497183,39
22,11168,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,SILC,133.3637963,-26.9520413,59
23,178,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.50658729999998,-26.9541563,71
24,3293,MHEM,MHEM,PROSPECT,Care/ Maintenance,Low Significance,MTHH,133.6981773,-26.971988300000003,39
25,176,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QHMM,133.7000223,-26.97796330000001,54
26,94,CELES,CELES,OCCURRENCE,Not worked,Low Significance,REGO,135.96361399999998,-27.4985213,36
27,8472,Cu,Cu,OCCURRENCE,Not worked,Low Significance,PEGM,133.2049523,-26.7733213,68
28,42,"Ni, Co, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GOSS,132.7613144,-26.7784662,82
29,36,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,133.1352933,-26.7900223,68
30,3290,U,U,OCCURRENCE,Not worked,Low Significance,SAND,133.5992643,-26.798712300000002,31
