Unnamed: 0,MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE,label,paths
0,40,CYP,NULL,OCCURRENCE,Not worked,Low Significance,LATR,132.6082534,-26.98062920000001,31,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
1,3490,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,133.3144083,-26.9806483,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
2,9170,Cr,NULL,OCCURRENCE,Not worked,Low Significance,IMAF,132.5374584,-26.9847332,83,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
3,41,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.5672964,-26.9883202,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
4,181,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.3743953,-26.9918243,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
5,183,OPAL,NULL,OCCURRENCE,Seasonal,Locally Significant,OPAL,134.0976052,-26.9927153,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
6,201,"QTZE, SDST",NULL,PROSPECT,Abandoned,Locally Significant,QTZT,133.4023473,-26.996025300000003,18,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
7,11123,CLAY,NULL,OCCURRENCE,Seasonal,Low Significance,CLYS,138.85460769999997,-27.0907564,2,data/stacked_images/LC08_L1TP_099079_20200116_20200127_01_T1.TIF
8,184,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.8654962,-27.1054163,29,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
9,11648,Pb,Pb,OCCURRENCE,Not worked,Low Significance,REGO,133.6794793,-27.1137923,71,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
10,39,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.4782423,-27.1141223,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
