Unnamed: 0,MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE,label,paths
278,11183,Cu,Cu,OCCURRENCE,Not worked,Low Significance,FBRC,135.56950790000002,-29.4366863,5,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
2654,7134,JADE,NONE,OCCURRENCE,Not worked,Low Significance,MTHH,136.9380716,-33.4958364,0,data/stacked_images/LC08_L1TP_098083_20200125_20200128_01_T1.TIF
3099,9425,GNSS,NONE,OCCURRENCE,Abandoned,Low Significance,GNSS,136.5404876,-33.690802399999995,0,data/stacked_images/LC08_L1TP_099083_20191215_20191226_01_T1.TIF
550,9543,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5349932,-30.3592863,6,data/stacked_images/LC08_L1TP_101081_20200114_20200127_01_T1.TIF
590,3520,OPAL,NONE,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1770747,-30.4437444,0,data/stacked_images/LC08_L1TP_099081_20191231_20200111_01_T1.TIF
265,3050,Au,Au,DEPOSIT,Not worked,Low Significance,TCTO,133.7825402,-29.6202523,8,data/stacked_images/LC08_L1TP_101081_20200114_20200127_01_T1.TIF
2314,8943,"Ni, Cr, REE",Ni,OCCURRENCE,Not worked,Low Significance,AMPH,136.3808627,-33.4091464,1,data/stacked_images/LC08_L1TP_099083_20191215_20191226_01_T1.TIF
1781,8502,"Pb, Zn",Pb,OCCURRENCE,Not worked,Low Significance,REGO,136.6730897,-32.6419304,4,data/stacked_images/LC08_L1TP_099083_20191215_20191226_01_T1.TIF
1213,6411,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.4375565,-31.7531164,5,data/stacked_images/LC08_L1TP_098082_20200125_20200128_01_T1.TIF
12,47,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.7120664,-26.4648812,1,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
2821,9328,"Ni, Fe",Ni,OCCURRENCE,Not worked,Low Significance,MGTU,135.1759178,-33.70970629999999,1,data/stacked_images/LC08_L1TP_100083_20191120_20191203_01_T1.TIF
1360,9310,Au,Au,OCCURRENCE,Not worked,Low Significance,TCTO,134.185845,-32.0397233,8,data/stacked_images/LC08_L1TP_100082_20200107_20200114_01_T1.TIF
245,9915,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,133.1723263,-29.012957300000004,8,data/stacked_images/LC08_L1TP_102080_20191204_20191217_01_T1.TIF
2821,9328,"Ni, Fe",Ni,OCCURRENCE,Not worked,Low Significance,MGTU,135.1759178,-33.70970629999999,1,data/stacked_images/LC08_L1TP_100083_20191120_20191203_01_T1.TIF
1136,3230,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,MTHH,138.6443634,-31.9175515,5,data/stacked_images/LC08_L1TP_098082_20200125_20200128_01_T1.TIF
414,10906,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,GOSS,137.68128169999997,-29.8565374,5,data/stacked_images/LC08_L1TP_099081_20191231_20200111_01_T1.TIF
1487,8485,"Ag, Cu, Pb, Zn",Ag,OCCURRENCE,Not worked,Low Significance,GRNT,136.9024436,-32.6146734,3,data/stacked_images/LC08_L1TP_099082_20191231_20200111_01_T1.TIF
2126,8131,GRNT,NONE,OCCURRENCE,Seasonal,Low Significance,GRNT,134.44249,-33.0873473,0,data/stacked_images/LC08_L1TP_100083_20200107_20200114_01_T1.TIF
965,7416,Ni,Ni,OCCURRENCE,Not worked,Low Significance,KOMT,134.67219,-30.8144043,1,data/stacked_images/LC08_L1TP_100081_20200107_20200114_01_T1.TIF
311,9078,COAL,NONE,DEPOSIT,Not worked,Locally Significant,LIGN,132.9902903,-29.545763300000004,0,data/stacked_images/LC08_L1TP_102081_20191204_20191217_01_T1.TIF
941,9838,"Cu, Au",Cu,PROSPECT,Not worked,Low Significance,SKRN,137.14940269999997,-31.1104384,5,data/stacked_images/LC08_L1TP_099081_20191231_20200111_01_T1.TIF
824,6780,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.530601,-30.7092923,8,data/stacked_images/LC08_L1TP_100081_20200107_20200114_01_T1.TIF
427,4459,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,137.9208076,-29.8817664,5,data/stacked_images/LC08_L1TP_099081_20191231_20200111_01_T1.TIF
13,8829,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,134.0720082,-26.5629863,7,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
335,11459,Fe,Fe,OCCURRENCE,Not worked,Low Significance,SKRN,134.81672769999997,-29.4134569,6,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
1988,9473,U,U,OCCURRENCE,Not worked,Low Significance,REGO,135.5875938,-32.9518163,7,data/stacked_images/LC08_L1TP_100083_20191120_20191203_01_T1.TIF
2051,9270,Pb,Pb,OCCURRENCE,Not worked,Low Significance,MTHH,136.2961087,-32.7433524,4,data/stacked_images/LC08_L1TP_099083_20191215_20191226_01_T1.TIF
1921,9772,SAND,NONE,OCCURRENCE,Not worked,Low Significance,SAND,137.7524615,-32.4391404,0,data/stacked_images/LC08_L1TP_098082_20200125_20200128_01_T1.TIF
580,3500,OPAL,NONE,OCCURRENCE,Abandoned,Low Significance,OPAL,137.17343369999998,-30.4332324,0,data/stacked_images/LC08_L1TP_099081_20191231_20200111_01_T1.TIF
1256,6535,Mn,Mn,OCCURRENCE,Not worked,Low Significance,MNOR,138.9150994,-31.2868495,2,data/stacked_images/LC08_L1TP_098082_20200125_20200128_01_T1.TIF
534,9148,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,137.06651269999998,-30.2596864,5,data/stacked_images/LC08_L1TP_099081_20191231_20200111_01_T1.TIF
1124,8351,Mn,Mn,OCCURRENCE,Abandoned,Low Significance,MNOR,137.1937116,-31.584126399999995,2,data/stacked_images/LC08_L1TP_099082_20191231_20200111_01_T1.TIF
2974,9179,"Ni, Cr",Ni,OCCURRENCE,Not worked,Low Significance,OPXT,135.5834428,-33.9196344,1,data/stacked_images/LC08_L1TP_100083_20191120_20191203_01_T1.TIF
2205,8436,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,134.9200309,-33.0131583,7,data/stacked_images/LC08_L1TP_100083_20200107_20200114_01_T1.TIF
847,10607,U,U,OCCURRENCE,Not worked,Low Significance,SAND,138.22429250000002,-30.8682284,7,data/stacked_images/LC08_L1TP_098082_20200125_20200128_01_T1.TIF
28,42,"Ni, Co, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GOSS,132.7613144,-26.7784662,1,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
1914,9280,"Ni, Au",Ni,OCCURRENCE,Not worked,Low Significance,REGO,134.595097,-32.8914623,1,data/stacked_images/LC08_L1TP_100083_20191120_20191203_01_T1.TIF
2213,8335,Fe,Fe,OCCURRENCE,Not worked,Low Significance,CLLV,137.11087759999998,-32.9221974,6,data/stacked_images/LC08_L1TP_098083_20200125_20200128_01_T1.TIF
2651,3992,SAND,NONE,OCCURRENCE,Rehabilitated,Low Significance,SAND,138.2541594,-33.3422624,0,data/stacked_images/LC08_L1TP_098083_20200125_20200128_01_T1.TIF
2314,8943,"Ni, Cr, REE",Ni,OCCURRENCE,Not worked,Low Significance,AMPH,136.3808627,-33.4091464,1,data/stacked_images/LC08_L1TP_099083_20191215_20191226_01_T1.TIF
2110,10271,QTZE,NONE,OCCURRENCE,Abandoned,Low Significance,QTZT,138.6256304,-33.0401025,0,data/stacked_images/LC08_L1TP_098083_20200125_20200128_01_T1.TIF
105,7026,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.948853,-28.1103353,7,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
2314,8943,"Ni, Cr, REE",Ni,OCCURRENCE,Not worked,Low Significance,AMPH,136.3808627,-33.4091464,1,data/stacked_images/LC08_L1TP_099083_20191215_20191226_01_T1.TIF
2489,9329,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,136.0945037,-33.6579504,7,data/stacked_images/LC08_L1TP_099083_20191215_20191226_01_T1.TIF
